Gene,Start,End,Strand
otsA,1980188,1981612,-
otsB,1981587,1982387,-
oweE,1204170,1204403,+
oxc,2490256,2491950,-
oxyR,4158490,4159407,+
oxyS,4158278,4158394,-
paaA,1453927,1454856,+
paaB,1454868,1455155,+
paaC,1455164,1455910,+
paaD,1455925,1456422,+
paaE,1456430,1457500,+
paaF,1457497,1458264,+
paaG,1458264,1459052,+
paaH,1459054,1460481,+
paaI,1460471,1460893,+
paaJ,1460893,1462098,+
paaK,1462125,1463438,+
paaX,1463539,1464489,+
paaY,1464471,1465061,+
paaZ,1451597,1453642,-
pabA,3490266,3490829,-
pabB,1894805,1896166,+
pabC,1153300,1154109,+
paeA,4439872,4441215,-
pagP,656557,657117,+
pal,779067,779588,+
panB,148807,149601,-
panC,147944,148795,-
panD,146314,146694,-
panE,443604,444515,-
panF,3407607,3409058,+
panZ,3597984,3598367,+
paoA,301884,302573,-
paoB,300931,301887,-
paoC,298736,300934,-
paoD,297770,298726,-
parC,3163715,3165973,-
parE,3173504,3175396,-
patA,3219494,3220873,+
patD,1515578,1517002,+
patZ,2719953,2722613,+
pawZ,2476584,2476598,+
pbl,2993939,2994441,+
pbpC,2645013,2647325,-
pbpG,2223938,2224870,-
pck,3532818,3534440,+
pcm,2868893,2869519,-
pcnB,157729,159126,-
pdeA,2515643,2517832,-
pdeB,477067,478617,-
pdeC,4275471,4277057,+
pdeD,1898427,1900025,+
pdeF,2626695,2628938,-
pdeG,1217328,1218851,+
pdeH,3678420,3679187,-
pdeI,872979,875327,+
pdeK,3683630,3685618,-
pdeL,332371,333459,+
pdeN,2270726,2272282,+
pdeR,1344757,1346742,-
pdhR,122092,122856,+
pdxA,52427,53416,-
pdxB,2436715,2437851,-
pdxH,1717351,1718007,-
pdxI,1474221,1475081,+
pdxJ,2700998,2701729,-
pdxK,2536386,2537237,-
pdxY,1715026,1715889,-
peaD,566376,566687,+
pepA,4484440,4485951,-
pepB,2655075,2656358,-
pepD,254259,255716,-
pepE,4229453,4230142,-
pepN,990622,993234,+
pepP,3053515,3054840,-
pepQ,4031161,4032492,+
pepT,1185844,1187070,+
perR,269289,270182,-
pfkA,4107552,4108514,+
pfkB,1806370,1807299,+
pflA,950340,951080,-
pflB,951272,953554,-
pflC,4146258,4147136,+
pflD,4143995,4146292,+
pgaA,1089866,1092289,-
pgaB,1087839,1089857,-
pgaC,1086521,1087846,-
pgaD,1086106,1086519,-
pgi,4233758,4235407,+
pgk,3071459,3072622,-
pgl,798586,799581,+
pgm,713558,715198,+
pgpA,436589,437107,+
pgpB,1339330,1340094,+
pgpC,2697915,2698550,-
pgrR,1391991,1392890,+
pgsA,1992269,1992817,-
pheA,2737745,2738905,+
pheL,2737599,2737646,+
pheM,1799226,1799270,-
pheP,601959,603335,+
pheS,1797959,1798942,-
pheT,1795557,1797944,-
pheU,4362551,4362626,-
pheV,3110366,3110441,+
phnC,4324377,4325165,-
phnD,4323336,4324352,-
phnE,4322443,4323281,-
phnF,4321697,4322422,-
phnG,4321244,4321696,-
phnH,4320663,4321247,-
phnI,4319599,4320663,-
phnJ,4318761,4319606,-
phnK,4318006,4318764,-
phnL,4317215,4317895,-
phnM,4316082,4317218,-
phnN,4315525,4316082,-
phnO,4315104,4315538,-
phnP,4314344,4315102,-
phoA,401747,403162,+
phoB,417142,417831,+
phoE,259045,260100,-
phoH,1084992,1086056,+
phoP,1189776,1190447,-
phoQ,1188316,1189776,-
phoR,417889,419184,+
phoU,3906853,3907578,-
php,3507712,3508590,-
phr,739507,740925,+
pinE,1209685,1210239,+
pinH,2783065,2783304,-
pinQ,1633622,1634212,+
pinR,1433084,1433674,-
pitA,3637642,3639141,+
pitB,3134872,3136371,-
plaP,2085704,2087062,-
plaR,3741684,3742532,-
pldA,4004862,4005731,+
pldB,4009170,4010192,+
pliG,1227071,1227472,-
plsB,4254043,4256466,-
plsC,3162744,3163481,-
plsX,1147621,1148691,+
plsY,3204694,3205311,+
pmrD,2373272,2373538,-
pmrR,4332116,4332205,+
pncA,1851887,1852528,+
pncB,989154,990356,-
pncC,2823849,2824346,-
pnp,3309033,3311168,-
pntA,1676371,1677903,-
pntB,1674972,1676360,-
pnuC,783166,783885,+
polA,4046966,4049752,+
polB,63429,65780,-
potA,1184458,1185594,-
potB,1183617,1184444,-
potC,1182826,1183620,-
potD,1181783,1182829,-
potE,716946,718265,-
potF,893784,894896,+
potG,894991,896124,+
potH,896134,897087,+
potI,897084,897929,+
poxB,909331,911049,-
ppa,4449122,4449652,-
ppc,4150447,4153098,-
ppdA,2963707,2964177,-
ppdB,2963153,2963716,-
ppdC,2962441,2962764,-
ppdD,117109,117549,-
pphA,1922313,1922969,-
pphB,2859760,2860416,+
pphC,2151711,2152472,-
ppiA,3491725,3492297,-
ppiB,553943,554437,-
ppiC,3959532,3959813,-
ppiD,461915,463786,+
ppk,2623044,2625110,+
ppnN,2926308,2927672,+
ppnP,408177,408461,+
pppA,3113543,3114352,-
ppsA,1784734,1787112,-
ppsR,1787445,1788278,+
pptA,1533052,1533285,+
ppx,2625115,2626656,+
pqiA,1012001,1013254,+
pqiB,1013259,1014899,+
pqiC,1014896,1015459,+
pqqL,1572407,1575202,-
prc,1912768,1914816,-
preA,2235265,2236500,+
preT,2234033,2235271,+
prfA,1265012,1266094,+
prfB,3035184,3036282,-
prfC,4609414,4611003,+
prfH,253702,254202,+
priA,4124612,4126810,-
priB,4425520,4425834,+
priC,490285,490812,-
prkB,3484490,3485359,+
prlC,3643140,3645182,-
prlF,3277002,3277337,+
prmA,3409070,3409951,+
prmB,2447508,2448440,-
prmC,1266094,1266927,+
proA,261503,262756,+
proB,260388,261491,+
proC,404835,405644,-
proK,3708616,3708692,-
proL,2286211,2286287,+
proM,3982735,3982811,+
proP,4330502,4332004,+
proQ,1914836,1915534,-
proS,217057,218775,-
proV,2804815,2806017,+
proW,2806010,2807074,+
proX,2807132,2808124,+
proY,420986,422359,+
prpB,348682,349572,+
prpC,350012,351181,+
prpD,351215,352666,+
prpE,352706,354592,+
prpR,346857,348443,-
prs,1260928,1261875,-
psaA,2777972,2777985,+
psd,4389392,4390360,-
psiE,4240325,4240735,+
psiF,403281,403601,+
pspA,1368079,1368747,+
pspB,1368801,1369025,+
pspC,1369025,1369384,+
pspD,1369393,1369614,+
pspE,1369689,1370003,+
pspF,1366935,1367912,-
pspG,4262840,4263082,+
pspH,4263139,4263249,+
pssA,2722727,2724082,+
pssL,2722702,2722743,+
pstA,3908549,3909439,-
pstB,3907593,3908366,-
pstC,3909439,3910398,-
pstS,3910485,3911525,-
psuG,2257429,2258367,-
psuK,2258355,2259296,-
psuT,2256085,2257335,-
pta,2414747,2416891,+
pth,1257929,1258513,-
ptrA,2955996,2958884,-
ptrB,1926779,1928839,-
ptsA,4139720,4142221,-
ptsG,1157869,1159302,+
ptsH,2533764,2534021,+
ptsI,2534066,2535793,+
ptsN,3346578,3347069,+
ptsP,2966188,2968434,-
punC,1739911,1741122,+
punR,1738866,1739798,-
purA,4404687,4405985,+
purB,1190616,1191986,-
purC,2596905,2597618,-
purD,4204642,4205931,-
purE,552591,553100,-
purF,2428721,2430238,-
purH,4205943,4207532,-
purK,551527,552594,-
purL,2691656,2695543,-
purM,2621197,2622234,+
purN,2622234,2622872,+
purR,1737844,1738869,+
purT,1930881,1932059,+
purU,1287782,1288624,-
putA,1074920,1078882,-
putP,1079305,1080813,+
puuA,1359490,1360908,-
puuB,1364232,1365512,+
puuC,1362743,1364230,+
puuD,1361120,1361884,+
puuE,1365550,1366815,+
puuP,1357802,1359187,-
puuR,1361911,1362468,+
pxpA,745165,745899,+
pxpB,743593,744249,+
pxpC,744243,745175,+
pykA,1937649,1939091,+
pykF,1755698,1757110,+
pyrB,4471460,4472395,-
pyrC,1121561,1122607,-
pyrD,1004768,1005778,+
pyrE,3815127,3815768,-
pyrF,1341921,1342658,+
pyrG,2908029,2909666,-
pyrH,191855,192580,+
pyrI,4470986,4471447,-
pyrL,4472399,4472533,-
pyrR,2500383,2501117,+
pyrS,2498671,2500368,+
qmcA,514856,515773,-
qorA,4263248,4264231,-
qorB,4433164,4434024,-
qseB,3169828,3170487,+
qseC,3170484,3171833,+
qseG,2688793,2689506,-
queA,425011,426081,+
queC,464852,465547,-
queD,2892214,2892579,+
queE,2904747,2905418,-
queF,2925348,2926196,+
queG,4392928,4394067,-
quuD,573956,574339,+
racC,1417488,1417763,-
racR,1419765,1420241,-
radA,4625912,4627294,+
radD,2280632,2282392,+
raiA,2737154,2737495,+
raiZ,2737381,2737542,+
ralA,1413556,1413734,+
ralR,1413733,1413927,-
rapA,60358,63264,-
rapZ,3347115,3347969,+
rarA,937994,939337,+
rarD,4003288,4004178,-
ratA,2754288,2754764,-
ravA,3929597,3931093,-
rayT,247637,248134,+
rbbA,3626803,3629538,-
rbfA,3312777,3313178,-
rbn,2381608,2382525,+
rbsA,3933778,3935283,+
rbsB,3936278,3937168,+
rbsC,3935288,3936253,+
rbsD,3933351,3933770,+
rbsK,3937294,3938223,+
rbsR,3938227,3939219,+
rbsZ,3937045,3937278,+
rcbA,1413531,1413740,-
rcdA,887423,887959,+
rcdB,3672414,3673313,+
rclA,318676,320001,-
rclB,318331,318567,-
rclC,317726,318319,-
rclR,320227,321081,+
rcnA,2185917,2186741,+
rcnB,2186960,2187298,+
rcnR,2185524,2185796,-
rcsA,2023968,2024591,+
rcsB,2316177,2316827,+
rcsC,2317027,2319876,-
rcsD,2313488,2316160,+
rcsF,219591,219995,-
rdcA,4327135,4329363,+
rdcB,4329360,4330238,+
rdgB,3096681,3097274,+
rdgC,409108,410019,-
rdlA,1269323,1269389,+
rdlB,1269858,1269923,+
rdlC,1270393,1270460,+
rdlD,3700136,3700199,+
recA,2822708,2823769,-
recB,2952461,2956003,-
recC,2959060,2962428,-
recD,2950635,2952461,-
recE,1414786,1417386,-
recF,3880148,3881221,-
recG,3825210,3827291,+
recJ,3036373,3038106,-
recN,2751795,2753456,+
recO,2701741,2702469,-
recQ,4005864,4007693,+
recR,494405,495010,+
recT,1413984,1414793,-
recX,2822139,2822639,-
relA,2911417,2913651,-
relB,1645633,1645872,-
relE,1645346,1645633,-
rem,1644651,1644902,-
renD,566684,568247,+
rep,3960677,3962698,+
rfaD,3793987,3794919,+
rfaH,4024333,4024821,-
rfbA,2110138,2111019,-
rfbB,2111976,2113061,-
rfbC,2109581,2110138,-
rfbD,2111077,2111976,-
rfbX,2108337,2109584,-
rfe,3967916,3969019,+
rffC,3974467,3975141,+
rffG,3972522,3973589,+
rffH,3973608,3974489,+
rffM,3979956,3980696,+
rflP,1791307,1792020,-
rhaA,4094723,4095982,-
rhaB,4095979,4097448,-
rhaD,4093448,4094272,-
rhaM,4093124,4093438,-
rhaR,4098646,4099494,+
rhaS,4097736,4098572,+
rhaT,4099491,4100525,-
rhlB,3964365,3965630,-
rhlE,830872,832236,+
rhmD,2360209,2361414,-
rho,3966417,3967676,+
rhoL,3966231,3966332,+
rhsA,3762183,3766316,+
rhsB,3619192,3623427,+
rhsC,729583,733776,+
rhsD,523261,527541,+
rhsE,1527890,1529938,+
rhtA,849210,850097,-
rhtB,4008439,4009059,-
rhtC,4007757,4008377,+
ribA,1338570,1339160,-
ribB,3183813,3184466,-
ribC,1742601,1743242,-
ribD,433455,434558,+
ribE,434647,435117,+
ribF,21407,22348,+
ridA,4470527,4470913,-
rihA,683477,684412,-
rihB,2254245,2255186,-
rihC,27293,28207,+
rimI,4608185,4608631,+
rimJ,1125562,1126146,+
rimK,891967,892869,+
rimL,1498938,1499477,+
rimM,2745370,2745918,-
rimO,876710,878035,-
rimP,3317554,3318006,-
rirA,3808166,3808238,-
rlhA,1506781,1508742,+
rlmA,1906251,1907060,-
rlmB,4409275,4410006,+
rlmC,898518,899645,+
rlmD,2913699,2915000,-
rlmE,3327035,3327664,-
rlmF,842332,843258,+
rlmG,3234739,3235875,-
rlmH,668248,668715,-
rlmI,1028779,1029969,-
rlmJ,3645385,3646227,+
rlmL,1007844,1009952,+
rlmM,2940143,2941243,-
rlmN,2643129,2644283,-
rlpA,664102,665190,-
rluA,59687,60346,-
rluB,1326852,1327727,+
rluC,1144940,1145899,+
rluD,2735031,2736011,-
rluE,1194298,1194951,-
rluF,4230354,4231226,+
rmf,1015715,1015882,+
rmuC,4017333,4018760,+
rna,644197,645003,-
rnb,1346978,1348912,-
rnc,2703383,2704063,-
rnd,1886864,1887991,-
rne,1141182,1144367,-
rng,3396326,3397795,-
rnhA,235535,236002,-
rnhB,204493,205089,+
rnk,643557,643967,-
rnlA,2765918,2766991,+
rnlB,2766984,2767355,+
rnm,1323220,1324101,+
rnpA,3884493,3884852,+
rnpB,3270216,3270592,-
rnr,4406654,4409095,+
rnt,1728347,1728994,+
rob,4634441,4635310,-
rodZ,2641831,2642844,-
rof,213678,213932,-
roxA,1187119,1188240,-
rpe,3514382,3515059,-
rph,3815863,3816549,-
rpiA,3058666,3059325,-
rpiB,4313350,4313799,+
rplA,4178879,4179583,+
rplB,3450543,3451364,-
rplC,3452297,3452926,-
rplD,3451681,3452286,-
rplE,3446899,3447438,-
rplF,3445607,3446140,-
rplI,4426108,4426557,+
rplJ,4179996,4180493,+
rplK,4178447,4178875,+
rplL,4180560,4180925,+
rplM,3378223,3378651,-
rplN,3447778,3448149,-
rplO,3444105,3444539,-
rplP,3448759,3449169,-
rplQ,3439616,3439999,-
rplR,3445244,3445597,-
rplS,2744183,2744530,-
rplT,1799393,1799749,-
rplU,3333140,3333451,-
rplV,3449901,3450233,-
rplW,3451382,3451684,-
rplX,3447453,3447767,-
rplY,2282517,2282801,+
rpmA,3332862,3333119,-
rpmB,3811438,3811674,-
rpmC,3448568,3448759,-
rpmD,3444543,3444722,-
rpmE,4127013,4127225,+
rpmF,1147367,1147540,+
rpmG,3811250,3811417,-
rpmH,3884336,3884476,+
rpmI,1799802,1799999,-
rpmJ,3442618,3442734,-
rpnA,3543167,3544045,+
rpnB,2422649,2423539,-
rpnC,146968,147870,+
rpnD,4568998,4569918,+
rpnE,2356904,2357803,+
rpoA,3440040,3441029,-
rpoB,4181245,4185273,+
rpoC,4185350,4189573,+
rpoD,3213047,3214888,+
rpoE,2709437,2710012,-
rpoH,3599929,3600783,-
rpoN,3344717,3346150,+
rpoS,2866559,2867551,-
rpoZ,3822106,3822381,+
rppH,2968447,2968977,-
rprA,1770372,1770477,+
rpsA,961995,963668,+
rpsB,189874,190599,+
rpsC,3449182,3449883,-
rpsD,3441055,3441675,-
rpsE,3444726,3445229,-
rpsF,4425118,4425513,+
rpsG,3473542,3474081,-
rpsH,3446153,3446545,-
rpsI,3377815,3378207,-
rpsJ,3452959,3453270,-
rpsK,3441709,3442098,-
rpsL,3474178,3474552,-
rpsM,3442115,3442471,-
rpsN,3446579,3446884,-
rpsO,3311415,3311684,-
rpsP,2745937,2746185,-
rpsQ,3448314,3448568,-
rpsR,4425839,4426066,+
rpsS,3450248,3450526,-
rpsT,20815,21078,-
rpsU,3210781,3210996,+
rraA,4118845,4119330,-
rraB,4478473,4478889,+
rrfA,4040517,4040636,+
rrfB,4171637,4171756,+
rrfC,3946700,3946819,+
rrfD,3423668,3423787,-
rrfE,4213040,4213159,+
rrfF,3423423,3423542,-
rrfG,2726069,2726188,-
rrfH,228756,228875,+
rrlA,4037519,4040423,+
rrlB,4168641,4171544,+
rrlC,3943704,3946607,+
rrlD,3423880,3426783,-
rrlE,4210043,4212946,+
rrlG,2726281,2729184,-
rrlH,225759,228662,+
rrrD,577613,578110,+
rrrQ,1639524,1640057,-
rrsA,4035531,4037072,+
rrsB,4166659,4168200,+
rrsC,3941808,3943349,+
rrsD,3427221,3428762,-
rrsE,4208147,4209688,+
rrsG,2729616,2731157,-
rrsH,223771,225312,+
rsd,4196332,4196808,-
rseA,2708754,2709404,-
rseB,2707798,2708754,-
rseC,2707322,2707801,-
rseD,2710009,2710164,-
rseP,196546,197898,+
rseX,2033649,2033739,+
rsfS,668719,669036,-
rsgA,4390457,4391509,-
rsmA,51609,52430,-
rsmB,3435207,3436496,+
rsmC,4606669,4607700,-
rsmD,3604393,3604989,+
rsmE,3091134,3091865,+
rsmF,1920223,1921662,+
rsmG,3923057,3923680,-
rsmH,90094,91035,+
rsmI,3292475,3293335,-
rsmJ,3642380,3643132,-
rspA,1653927,1655141,-
rspB,1652896,1653915,-
rspR,1628352,1629038,+
rssA,1289245,1290150,+
rssB,1290242,1291255,+
rstA,1682159,1682878,+
rstB,1682882,1684183,+
rsuA,2279788,2280483,-
rsxA,1705767,1706348,+
rsxB,1706348,1706926,+
rsxC,1706919,1709141,+
rsxD,1709142,1710200,+
rsxE,1710828,1711523,+
rsxG,1710204,1710824,+
rtcA,3555833,3556849,-
rtcB,3556853,3558079,-
rtcR,3558268,3559866,+
rttR,1287066,1287236,-
rusA,573371,573733,+
rutA,1072863,1074011,-
rutB,1072171,1072863,-
rutC,1071773,1072159,-
rutD,1070965,1071765,-
rutE,1070365,1070955,-
rutF,1069860,1070354,-
rutG,1068511,1069839,-
rutR,1074242,1074880,+
ruvA,1945365,1945976,-
ruvB,1944346,1945356,-
ruvC,1946855,1947376,-
rybA,852725,853064,-
rybB,887979,888057,-
rydB,1764713,1764780,-
rydC,1491442,1491506,-
ryeA,1923066,1923337,+
ryfA,2653855,2654158,+
ryfD,2734153,2734295,-
ryhB,3580922,3581016,-
ryjA,4277926,4278066,-
ryjB,4527977,4528066,+
rzoD,578327,578509,+
rzoQ,1639080,1639334,-
rzoR,1423400,1423585,+
rzpD,578107,578568,+
rzpQ,1639030,1639527,-
rzpR,1423345,1423644,+
sad,1613315,1614703,-
safA,1583762,1583959,-
sanA,2232878,2233597,+
sapA,1355467,1357110,-
sapB,1354505,1355470,-
sapC,1353628,1354518,-
sapD,1352636,1353628,-
sapF,1351828,1352634,-
satP,9928,10494,-
sbcB,2082756,2084183,+
sbcC,412607,415753,-
sbcD,415750,416952,-
sbmA,396639,397859,+
sbmC,2080789,2081262,-
sbp,4108834,4109823,+
scpA,3060850,3062994,+
scpB,3063993,3064778,+
scpC,3064802,3066280,+
sdaA,1896932,1898296,+
sdaB,2929576,2930943,+
sdaC,2928229,2929518,+
sdhA,755907,757673,+
sdhB,757689,758405,+
sdhC,755177,755566,+
sdhD,755560,755907,+
sdhE,3040804,3041070,-
sdhX,765050,765150,+
sdiA,1996110,1996832,-
sdsN,1996921,1997057,+
sdsR,1923104,1923207,-
secA,108279,110984,+
secB,3783661,3784128,-
secD,427647,429494,+
secE,4177358,4177741,+
secF,429505,430476,+
secG,3322173,3322505,-
secM,107705,108217,+
secY,3442766,3444097,-
selA,3759858,3761249,-
selB,3758017,3759861,-
selC,3836222,3836316,+
selD,1846965,1848008,-
selO,1789808,1791244,-
selU,530132,531226,-
seqA,712987,713532,+
serA,3057178,3058410,-
serB,4624895,4625863,+
serC,957653,958741,+
serS,939428,940720,+
serT,1031625,1031712,-
serU,2043468,2043557,-
serV,2818553,2818645,-
serW,925884,925971,-
serX,1097565,1097652,-
setA,77621,78799,+
setB,2263863,2265044,+
setC,3836953,3838137,+
sfmA,558212,558754,+
sfmC,558974,559666,+
sfmD,559697,562300,+
sfmF,563330,563845,+
sfmH,562336,563319,+
sfsA,160782,161486,-
sfsB,3334909,3335187,+
sgbE,3750086,3750781,+
sgbH,3748577,3749239,+
sgbU,3749232,3750092,+
sgcA,4527549,4527980,-
sgcB,4530255,4530533,-
sgcC,4528930,4530243,-
sgcE,4526905,4527537,-
sgcQ,4528111,4528917,-
sgcR,4526106,4526888,-
sgcX,4530530,4531651,-
sgrR,75644,77299,-
sgrS,77367,77593,+
sgrT,77388,77519,+
shiA,2053643,2054959,+
shoB,2700117,2700197,-
sibA,2153311,2153454,+
sibB,2153646,2153781,+
sibC,3056851,3056991,+
sibD,3194721,3194865,-
sibE,3195097,3195240,-
sieB,1418671,1419159,+
sixA,2456327,2456812,-
skp,200482,200967,+
slmA,3814494,3815090,+
slp,3653961,3654527,+
slt,4630733,4632670,+
slyA,1720390,1720824,-
slyB,1719876,1720343,+
slyD,3477907,3478497,-
slyX,3477640,3477858,+
smf,3432436,3433560,-
smg,3431991,3432464,-
smpB,2754896,2755378,+
smrA,1405979,1406542,+
smrB,2448606,2449157,+
sodA,4100810,4101430,+
sodB,1735378,1735959,+
sodC,1724134,1724655,-
sohB,1329332,1330381,+
sokA,3722077,3722111,+
sokB,1492119,1492175,+
sokC,16952,17010,+
sokE,607733,607792,-
sokX,2887353,2887411,+
solA,1119468,1120586,-
soxR,4277469,4277933,+
soxS,4277060,4277383,-
speA,3083935,3085911,-
speB,3082877,3083797,-
speC,3107020,3109155,-
speD,134788,135582,-
speE,135598,136464,-
speF,718262,720460,-
speFL,720718,720822,-
speG,1656184,1656744,+
spf,4049899,4050009,+
spoT,3822400,3824508,+
sppA,1848837,1850693,+
spy,1825140,1825625,-
sra,1555826,1555963,-
sraB,1146589,1146757,+
sraG,3311183,3311398,+
srkA,4042415,4043401,+
srlA,2825832,2826395,+
srlB,2827362,2827733,+
srlD,2827737,2828516,+
srlE,2826392,2827351,+
srlR,2829047,2829820,+
srmB,2712896,2714230,+
sroA,75516,75608,-
sroC,686681,686843,-
sroE,2640595,2640686,-
sroH,4190327,4190487,-
ssb,4274125,4274661,+
sseA,2652494,2653339,+
sseB,2654157,2654933,-
ssnA,3019161,3020489,+
sspA,3376782,3377420,-
sspB,3376279,3376776,-
ssrA,2755593,2755955,+
ssrS,3055983,3056165,+
sstT,3239944,3241188,+
ssuA,995985,996944,-
ssuB,993277,994044,-
ssuC,994041,994832,-
ssuD,994843,995988,-
ssuE,996937,997512,-
stfE,1209119,1209655,-
stfQ,1634885,1635847,-
stfR,1429049,1432411,+
sthA,4159390,4160790,-
stpA,2798091,2798495,-
sucA,758706,761507,+
sucB,761522,762739,+
sucC,763014,764180,+
sucD,764180,765049,+
sufA,1764018,1764386,-
sufB,1762522,1764009,-
sufC,1761766,1762512,-
sufD,1760520,1761791,-
sufE,1758874,1759290,-
sufS,1759303,1760523,-
suhB,2663442,2664245,+
sulA,1020410,1020919,-
surA,53416,54702,-
sutR,1506172,1506708,+
sxy,1021138,1021767,+
syd,2924735,2925280,-
symE,4579499,4579840,-
symR,4579835,4579911,+
tabA,4474862,4475314,+
tadA,2697354,2697857,-
tag,3713092,3713655,+
talA,2578666,2579616,+
talB,8238,9191,+
tam,1607346,1608104,+
tamA,4442382,4444115,+
tamB,4444112,4447891,+
tap,1969383,1970984,-
tapT,2719223,2719921,+
tar,1971030,1972691,-
tas,2971597,2972637,+
tatA,4021945,4022214,+
tatB,4022218,4022733,+
tatC,4022736,4023512,+
tatD,4023554,4024336,+
tatE,658947,659150,+
tauA,385232,386194,+
tauB,386207,386974,+
tauC,386971,387798,+
tauD,387795,388646,+
tcdA,2945036,2945842,-
tcyJ,1999585,2000385,-
tcyL,1997811,1998479,-
tcyN,1997062,1997814,-
tcyP,1810934,1812325,+
tdcA,3266127,3267065,-
tdcB,3265039,3266028,-
tdcC,3263686,3265017,-
tdcD,3262452,3263660,-
tdcE,3260124,3262418,-
tdcF,3259721,3260110,-
tdcG,3258285,3259649,-
tdcR,3267380,3267598,+
tdh,3790320,3791345,-
tdk,1293527,1294144,+
tehA,1500573,1501565,+
tehB,1501562,1502155,+
tesA,519139,519765,-
tesB,474301,475161,-
tfaD,581534,582097,+
tfaE,1208517,1209119,-
tfaP,1208132,1208545,+
tfaQ,1634310,1634885,-
tfaR,1432411,1432986,+
tfaS,2470803,2471105,+
tfaX,582875,583060,+
tff,189712,189847,+
tgt,426137,427264,+
thiB,74497,75480,-
thiC,4194204,4196099,-
thiD,2183716,2184516,-
thiE,4193569,4194204,-
thiF,4192821,4193576,-
thiG,4191865,4192635,-
thiH,4190735,4191868,-
thiI,441549,442997,+
thiK,1163260,1164084,+
thiL,435634,436611,+
thiM,2184513,2185301,-
thiP,72911,74521,-
thiQ,72229,72927,-
thiS,4192637,4192837,-
thpR,161501,162031,-
thrA,337,2799,+
thrB,2801,3733,+
thrC,3734,5020,+
thrL,190,255,+
thrS,1800642,1802570,-
thrT,4175754,4175829,+
thrU,4175388,4175463,+
thrV,3423580,3423655,-
thrW,262871,262946,+
thyA,2964361,2965155,-
tig,455133,456431,+
tilS,212331,213629,+
timP,2654001,2654126,+
timR,2653356,2653455,-
tisB,3853553,3853642,+
tktA,3079644,3081635,-
tktB,2579636,2581639,+
tldD,3390583,3392028,-
tldE,4457959,4459311,+
tmaR,2079032,2079361,-
tmcA,2593844,2595859,-
tmk,1155124,1155765,+
tnaA,3888730,3890145,+
tnaB,3890236,3891483,+
tnaC,3888435,3888509,+
tolA,776342,777607,+
tolB,777740,779032,+
tolC,3178115,3179596,+
tolQ,775153,775845,+
tolR,775849,776277,+
tomB,480334,480708,-
tonB,1311089,1311808,+
topA,1331048,1333645,+
topAI,4533796,4534053,-
topB,1844999,1846960,-
torA,1059256,1061802,+
torC,1058084,1059256,+
torD,1061799,1062398,+
torI,2476310,2476510,+
torR,1057262,1057954,-
torS,1053434,1056178,-
torT,1056261,1057289,+
torY,1957032,1958132,-
torZ,1954578,1957007,-
tpiA,4110740,4111507,-
tpr,1287087,1287176,-
tpx,1388305,1388811,-
tqsA,1673913,1674947,+
treA,1245679,1247376,-
treB,4464759,4466180,-
treC,4463054,4464709,-
treF,3669592,3671241,+
treR,4466299,4467246,-
trg,1492470,1494110,+
trhO,1116807,1117859,+
trhP,2165668,2167029,+
trkA,3436518,3437894,+
trkG,1423782,1425239,+
trkH,4033145,4034596,+
trmA,4162170,4163270,-
trmB,3102133,3102852,-
trmD,2744572,2745339,-
trmH,3824515,3825204,+
trmJ,2662583,2663323,-
trmL,3781215,3781688,+
trmO,218887,219594,-
trpA,1316416,1317222,-
trpB,1317222,1318415,-
trpC,1318427,1319788,-
trpD,1319789,1321384,-
trpE,1321384,1322946,-
trpL,1323038,1323082,-
trpR,4632760,4633086,+
trpS,3512634,3513638,-
trpT,3946957,3947032,+
truA,2434824,2435636,-
truB,3311833,3312777,-
truC,2923002,2923784,-
truD,2870255,2871304,-
trxA,3965761,3966090,+
trxB,931085,932050,-
trxC,2718735,2719154,+
tsaB,1890572,1891267,-
tsaC,3430843,3431415,-
tsaD,3209530,3210543,-
tsaE,4395585,4396046,+
tsf,190857,191708,+
tsgA,3492568,3493749,+
tsr,4591657,4593312,+
tsuA,2084467,2085525,-
tsuB,2084226,2084453,-
tsx,431129,432013,-
ttcA,1411013,1411948,-
ttcC,1434958,1435008,-
ttdA,3206463,3207374,+
ttdB,3207371,3207976,+
ttdR,3205324,3206256,-
ttdT,3208024,3209487,+
tufA,3470145,3471329,-
tufB,4175944,4177128,+
tus,1684259,1685188,+
tusA,3608751,3608996,-
tusB,3474678,3474965,-
tusC,3474973,3475332,-
tusD,3475332,3475718,-
tusE,1030339,1030668,-
tynA,1449076,1451349,-
tyrA,2738948,2740069,-
tyrB,4267114,4268307,+
tyrP,1989681,1990892,+
tyrR,1386720,1388261,+
tyrS,1715948,1717222,-
tyrT,1287538,1287622,-
tyrU,4175472,4175556,+
tyrV,1287244,1287328,-
uacT,3031367,3032815,+
ubiA,4253016,4253888,+
ubiB,4020226,4021866,+
ubiC,4252506,4253003,+
ubiD,4024988,4026481,+
ubiE,4018855,4019610,+
ubiF,695101,696276,+
ubiG,2339567,2340289,+
ubiH,3052340,3053518,-
ubiI,3051115,3052317,-
ubiJ,4019624,4020229,+
ubiK,3184840,3185130,+
ubiT,3300752,3301276,-
ubiU,3301485,3302480,+
ubiV,3302489,3303367,+
ubiX,2428057,2428626,-
ucpA,2543832,2544623,-
udk,2142307,2142948,-
udp,4016431,4017192,+
ugd,2098447,2099613,-
ugpA,3590024,3590911,-
